respID,qID,altID,type,price,crust,image
1,1,1,Salame,9,thin,salame.jpg
1,1,2,Salame,8,average,salame.jpg
1,1,3,Margherita,9,thin,margherita.jpg
1,2,1,Prosciutto,7.5,thin,prosciutto.jpg
1,2,2,Margherita,8.5,average,margherita.jpg
1,2,3,Caprese,8,average,caprese.jpg
2,1,1,Caprese,8.5,thin,caprese.jpg
2,1,2,Caprese,7.5,average,caprese.jpg
2,1,3,Margherita,8.5,thin,margherita.jpg
2,2,1,Bianca,9,thin,bianca.jpg
2,2,2,Salame,9,average,salame.jpg
2,2,3,Prosciutto,9,thick,prosciutto.jpg
3,1,1,Caprese,7.5,thin,caprese.jpg
3,1,2,Margherita,7.5,thick,margherita.jpg
3,1,3,Caprese,8.5,average,caprese.jpg
3,2,1,Caprese,7.5,average,caprese.jpg
3,2,2,Caprese,8,thick,caprese.jpg
3,2,3,Margherita,9,thick,margherita.jpg
4,1,1,Prosciutto,8,thick,prosciutto.jpg
4,1,2,Prosciutto,8,thin,prosciutto.jpg
4,1,3,Salame,8.5,thick,salame.jpg
4,2,1,Prosciutto,8.5,thick,prosciutto.jpg
4,2,2,Caprese,9,average,caprese.jpg
4,2,3,Prosciutto,9,thick,prosciutto.jpg
5,1,1,Margherita,7.5,thin,margherita.jpg
5,1,2,Caprese,8.5,average,caprese.jpg
5,1,3,Margherita,9,thick,margherita.jpg
5,2,1,Bianca,9,thick,bianca.jpg
5,2,2,Caprese,7.5,thin,caprese.jpg
5,2,3,Salame,7.5,thin,salame.jpg
6,1,1,Bianca,9,average,bianca.jpg
6,1,2,Prosciutto,9,average,prosciutto.jpg
6,1,3,Margherita,7.5,thick,margherita.jpg
6,2,1,Salame,8.5,thin,salame.jpg
6,2,2,Margherita,8.5,thick,margherita.jpg
6,2,3,Caprese,9,thin,caprese.jpg
7,1,1,Salame,7.5,thick,salame.jpg
7,1,2,Caprese,8.5,thick,caprese.jpg
7,1,3,Prosciutto,8,thin,prosciutto.jpg
